ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-12-11,83.44418637764777,-10.273013821331629,28.249214631059438,83.44418637764777,83.44418637764777,-74.03389806365512,-74.03389806365512,-74.03389806365512,-74.03389806365512,-74.03389806365512,-74.03389806365512,0.0,0.0,0.0,9.410288313992652
2023-12-12,83.46201182066335,-19.270336572788292,20.54150861410741,83.46201182066335,83.46201182066335,-81.94504631453597,-81.94504631453597,-81.94504631453597,-81.94504631453597,-81.94504631453597,-81.94504631453597,0.0,0.0,0.0,1.5169655061273772
2023-12-13,83.47983726367889,-23.077743652998254,14.051557886052667,83.47983726367889,83.47983726367889,-88.9004251660072,-88.9004251660072,-88.9004251660072,-88.9004251660072,-88.9004251660072,-88.9004251660072,0.0,0.0,0.0,-5.4205879023283075
2023-12-14,83.49766270669446,-30.13776621548711,7.906092406372737,83.49766270669446,83.49766270669446,-94.66135045146645,-94.66135045146645,-94.66135045146645,-94.66135045146645,-94.66135045146645,-94.66135045146645,0.0,0.0,0.0,-11.163687744771991
2023-12-15,83.51548814971001,-35.35252727672096,5.186513871969529,83.51548814971001,83.51548814971001,-99.02317305506251,-99.02317305506251,-99.02317305506251,-99.02317305506251,-99.02317305506251,-99.02317305506251,0.0,0.0,0.0,-15.507684905352505
2023-12-16,83.53331359272556,-38.14066316357203,1.216010089759561,83.53331359272556,83.53331359272556,-101.82278284042252,-101.82278284042252,-101.82278284042252,-101.82278284042252,-101.82278284042252,-101.82278284042252,0.0,0.0,0.0,-18.289469247696957
2023-12-17,83.55113903574112,-39.14867905266398,-0.90513744871466,83.55113903574112,83.55113903574112,-102.94495264599628,-102.94495264599628,-102.94495264599628,-102.94495264599628,-102.94495264599628,-102.94495264599628,0.0,0.0,0.0,-19.393813610255165
2023-12-18,83.56896447875668,-38.67228667660287,0.13899294587316766,83.56896447875668,83.56900039842516,-102.32730072493763,-102.32730072493763,-102.32730072493763,-102.32730072493763,-102.32730072493763,-102.32730072493763,0.0,0.0,0.0,-18.758336246180946
2023-12-19,83.58678992177224,-35.97032360390148,3.5896951700785484,83.58678992177224,83.58687139088427,-99.96368877217674,-99.96368877217674,-99.96368877217674,-99.96368877217674,-99.96368877217674,-99.96368877217674,0.0,0.0,0.0,-16.3768988504045
2023-12-20,83.6046153647878,-30.886988274114767,6.741912422801678,83.60453793732896,83.60473791821303,-95.90591761817734,-95.90591761817734,-95.90591761817734,-95.90591761817734,-95.90591761817734,-95.90591761817734,0.0,0.0,0.0,-12.301302253389537
2023-12-21,83.62244080780334,-26.43782781211804,12.991306194728445,83.62225199908123,83.62264506561193,-90.26363249276126,-90.26363249276126,-90.26363249276126,-90.26363249276126,-90.26363249276126,-90.26363249276126,0.0,0.0,0.0,-6.641191684957917
2023-12-22,83.64026625081893,-18.227309930733995,20.484090311266243,83.63997948876327,83.64054886912488,-83.20240303039236,-83.20240303039236,-83.20240303039236,-83.20240303039236,-83.20240303039236,-83.20240303039236,0.0,0.0,0.0,0.4378632204265642
2023-12-23,83.65809169383446,-12.704440510286252,27.139518296370234,83.65773538120095,83.65844227662723,-74.93999834080701,-74.93999834080701,-74.93999834080701,-74.93999834080701,-74.93999834080701,-74.93999834080701,0.0,0.0,0.0,8.718093353027456
2023-12-24,83.67591713685003,-1.9135719642143683,37.61364516741758,83.67549186992801,83.67636331687179,-65.74093286344805,-65.74093286344805,-65.74093286344805,-65.74093286344805,-65.74093286344805,-65.74093286344805,0.0,0.0,0.0,17.93498427340198
2023-12-25,83.69374257986559,7.582860441739841,47.02140208208135,83.6932258592312,83.69422292518904,-55.90941270098361,-55.90941270098361,-55.90941270098361,-55.90941270098361,-55.90941270098361,-55.90941270098361,0.0,0.0,0.0,27.784329878881977
2023-12-26,83.71156802288114,18.963178206565154,56.93384190288942,83.71093666229642,83.7121357558454,-45.78086304128386,-45.78086304128386,-45.78086304128386,-45.78086304128386,-45.78086304128386,-45.78086304128386,0.0,0.0,0.0,37.93070498159728
2023-12-27,83.72939346589669,27.76221304088168,68.1265611159753,83.72868848691766,83.73010061916837,-35.712263566054645,-35.712263566054645,-35.712263566054645,-35.712263566054645,-35.712263566054645,-35.712263566054645,0.0,0.0,0.0,48.01712989984205
2023-12-28,83.74721890891226,39.0250261657711,76.46813126620037,83.74633966094169,83.74798119077306,-26.071558951539632,-26.071558951539632,-26.071558951539632,-26.071558951539632,-26.071558951539632,-26.071558951539632,0.0,0.0,0.0,57.67565995737263
2023-12-29,83.7650443519278,47.186318769028865,85.31929218036628,83.76401242382384,83.76595844526193,-17.226444415431594,-17.226444415431594,-17.226444415431594,-17.226444415431594,-17.226444415431594,-17.226444415431594,0.0,0.0,0.0,66.53859993649621
2023-12-30,83.78286979494338,55.44396784077556,94.35943159240286,83.78156854262959,83.78391748823356,-9.532850670605619,-9.532850670605619,-9.532850670605619,-9.532850670605619,-9.532850670605619,-9.532850670605619,0.0,0.0,0.0,74.25001912433777
2023-12-31,83.80069523795892,60.55458628137853,99.71673401971363,83.79916795442776,83.80184995909467,-3.3234677695456347,-3.3234677695456347,-3.3234677695456347,-3.3234677695456347,-3.3234677695456347,-3.3234677695456347,0.0,0.0,0.0,80.47722746841329
